x_m,T_c_K,T_w_K,h_W_m2K,Re,Nu,f,dP_cum_Pa,T_sat_K,DeltaT_sat_K
3.8699999999999997,570.045514680436,577.2153147471141,92491.5046513247,1135982.2782721852,1919.02916467589,0.011366905066367977,742704.837608004,584.1471469665152,6.931832219401031
3.9,570.1232423826301,577.2903998511827,92525.60713587276,1137024.3117399618,1919.767162643406,0.011365167836721046,748407.5446612259,584.1471469665152,6.856747115332496
3.9299999999999997,570.2009678691278,577.365483775638,92559.72139215212,1138067.2778776828,1920.5054275836244,0.011363431043886528,754109.4193878219,584.1471469665152,6.7816631908771114
3.96,570.2786911401045,577.440566520229,92593.84742389862,1139111.1774978263,1921.2439595859623,0.011361694687717068,759810.4619946028,584.1471469665152,6.706580446286125
3.9899999999999998,570.3564121957357,577.5156480847048,92627.98523484971,1140156.0114135721,1921.9827587398759,0.011359958768065339,765510.6726883098,584.1471469665152,6.63149888181033
4.02,570.4341310361971,577.5907284688144,92662.13482874373,1141201.7804387822,1922.7218251348452,0.011358223284784075,771210.0516756148,584.1471469665152,6.556418497700747
4.05,570.511847661664,577.6658076723073,92696.29620931997,1142248.485388004,1923.4611588603743,0.0113564882377261,776908.5991631206,584.1471469665152,6.481339294207828
4.08,570.5895620723119,577.7408856949331,92730.46938031897,1143296.1270764791,1924.2007600059985,0.011354753626744265,782606.3153573608,584.1471469665152,6.406261271582025
4.109999999999999,570.6672742683163,577.8159625364414,92764.65434548244,1144344.7063201414,1924.9406286612832,0.0113530194516915,788303.2004647995,584.1471469665152,6.33118443007379
4.14,570.7449842498527,577.891038196582,92798.85110855309,1145394.2239356115,1925.680764915819,0.011351285712420792,793999.2546918321,584.1471469665152,6.256108769933121
4.17,570.8226920170963,577.9661126751051,92833.05967327446,1146444.6807401967,1926.4211688592188,0.011349552408785187,799694.4782447845,584.1471469665152,6.181034291410015
4.2,570.9003975702227,578.0411859717607,92867.2800433918,1147496.0775519088,1927.1618405811364,0.011347819540637799,805388.8713299137,584.1471469665152,6.105960994754469
4.2299999999999995,570.9781009094072,578.1162580862991,92901.51222265074,1148548.4151894378,1927.902780171239,0.01134608710783179,811082.4341534077,584.1471469665152,6.030888880216025
4.26,571.0558020348252,578.191329018471,92935.7562147986,1149601.6944721777,1928.6439877192329,0.01134435511022039,816775.1669213852,584.1471469665152,5.955817948044114
4.29,571.133500946652,578.2663987680271,92970.01202358342,1150655.9162202089,1929.3854633148449,0.011342623547656892,822467.069839896,584.1471469665152,5.88074819848805
4.32,571.211197645063,578.3414673347179,93004.27965275438,1151711.0812543072,1930.1272070478317,0.011340892419994648,828158.143114921,584.1471469665152,5.805679631797261
4.35,571.2888921302334,578.4165347182948,93038.55910606199,1152767.1903959468,1930.8692190079812,0.011339161727087065,833848.386952372,584.1471469665152,5.730612248220382
4.38,571.3665844023386,578.4916009185087,93072.85038725751,1153824.2444672904,1931.6114992851024,0.011337431468787618,839537.801558092,584.1471469665152,5.655546048006499
4.41,571.4442744615538,578.5666659351109,93107.15350009361,1154882.2442912047,1932.3540479690396,0.01133570164494983,845226.387137855,584.1471469665152,5.580481031404247
4.4399999999999995,571.5219623080543,578.6417297678529,93141.46844832393,1155941.1906912457,1933.0968651496603,0.011333972255427304,850914.1438973662,584.1471469665152,5.505417198662258
4.47,571.5996479420153,578.7167924164863,93175.79523570299,1157001.0844916673,1933.8399509168585,0.01133224330007369,856601.072042262,584.1471469665152,5.430354550028824
4.5,571.677331363612,578.791853880763,93210.13386598678,1158061.926517425,1934.5833053605613,0.0113305147787427,862287.1717781096,584.1471469665152,5.355293085752123
4.53,571.7550125730196,578.866914160435,93244.48434293202,1159123.7175941656,1935.3269285707172,0.011328786691288104,867972.443310408,584.1471469665152,5.280232806080107
4.56,571.8326915704133,578.9419732552543,93278.84667029692,1160186.4585482427,1936.0708206373101,0.011327059037563746,873656.886844587,584.1471469665152,5.205173711260841
4.59,571.9103683559683,579.0170311649732,93313.22085184051,1161250.1502067037,1936.8149816503462,0.011325331817423507,879340.5025860079,584.1471469665152,5.130115801541933
4.62,571.9880429298597,579.092087889344,93347.60689132291,1162314.7933972944,1937.5594116998604,0.011323605030721355,885023.2907399632,584.1471469665152,5.055059077171109
4.6499999999999995,572.0657152922627,579.1671434281196,93382.0047925055,1163380.388948467,1938.3041108759182,0.011321878677311287,890705.2515116767,584.1471469665152,4.980003538395522
4.68,572.1433854433523,579.2421977810526,93416.4145591505,1164446.9376893658,1939.049079268607,0.011320152757047399,896386.3851063036,584.1471469665152,4.904949185462556
4.71,572.2210533833036,579.3172509478959,93450.83619502156,1165514.440449846,1939.7943169680502,0.01131842726978381,902066.6917289305,584.1471469665152,4.829896018619252
4.74,572.2987191122917,579.3923029284026,93485.26970388314,1166582.8980604582,1940.539824064393,0.01131670221537472,907746.1715845752,584.1471469665152,4.754844038112537
4.77,572.3763826304917,579.4673537223259,93519.715089501,1167652.311352459,1941.2856006478119,0.011314977593674384,913424.8248781873,584.1471469665152,4.679793244189227
4.8,572.4540439380785,579.5424033294192,93554.17235564177,1168722.6811578032,1942.031646808507,0.011313253404537128,919102.6518146476,584.1471469665152,4.604743637095908
4.83,572.5317030352272,579.6174517494362,93588.64150607347,1169794.0083091587,1942.7779626367133,0.01131152964781731,924779.6525987685,584.1471469665152,4.529695217078938
4.859999999999999,572.6093599221128,579.6924989821306,93623.1225445649,1170866.2936398864,1943.5245482226853,0.011309806323369379,930455.8274352938,584.1471469665152,4.4546479843845646
4.89,572.6870145989104,579.7675450272561,93657.61547488636,1171939.5379840652,1944.2714036567163,0.011308083431047816,936131.1765288991,584.1471469665152,4.379601939259032
4.92,572.7646670657948,579.8425898845669,93692.1203008088,1173013.7421764655,1945.0185290291156,0.011306360970707188,941805.7000841913,584.1471469665152,4.304557081948246
4.95,572.842317322941,579.917633553817,93726.63702610451,1174088.9070525717,1945.765924430227,0.011304638942202112,947479.398305709,584.1471469665152,4.229513412698111
4.9799999999999995,572.9199653705239,579.9926760347612,93761.16565454686,1175165.0334485748,1946.5135899504226,0.011302917345387254,953152.2713979225,584.1471469665152,4.154470931753963
5.01,572.9976112087185,580.0677173271536,93795.70618991036,1176242.1222013724,1947.261525680101,0.011301196180117353,958824.3195652338,584.1471469665152,4.079429639361592
5.04,573.0752548376995,580.142757430749,93830.25863597047,1177320.1741485663,1948.009731709688,0.011299475446247207,964495.5430119763,584.1471469665152,4.004389535766109
5.069999999999999,573.1528962576419,580.2177963453024,93864.82299650392,1178399.1901284722,1948.7582081296393,0.011297755143631672,970165.9419424154,584.1471469665152,3.929350621212734
5.1,573.2305354687206,580.2928340705686,93899.39927528852,1179479.1709801138,1949.5069550304395,0.011296035272125653,975835.5165607482,584.1471469665152,3.8543128959465776
5.13,573.3081724711104,580.3678706063029,93933.98747610295,1180560.117543218,1950.2559725025953,0.011294315831584132,981504.2670711036,584.1471469665152,3.779276360212293
5.16,573.3858072649862,580.4429059522605,93968.58760272732,1181642.0306582302,1951.005260636649,0.011292596821862145,987172.193677542,584.1471469665152,3.7042410142546487
